"MatchKey","Type","SetNum","MatchNum","MatchTeamKey","TeamNumber","Alliance","Position","match_scouter","auto__tarmac","auto__starting_position","auto__ball1","auto__ball2","auto__ball3","auto__ball4","auto__ball5","auto__inrobot","auto__highhub","auto__lowhub","teleop__highhub","teleop__lowhub","endgame__climb_position","endgame__climbtime","brownout","breakdown"
"2022orwil_qm7","qm",1,7,"frc4057",4057,"blue",3,"aasha",true,"2",false,false,false,false,false,false,0,1,0,2,"mid",0,false,false
"2022orwil_qm8","qm",1,8,"frc4127",4127,"red",1,"suhaani",true,"3",false,false,false,false,false,false,0,0,0,0,"mid",5,false,false
"2022orwil_qm8","qm",1,8,"frc3024",3024,"red",2,"atelyn",false,"2",false,false,false,false,false,false,0,0,1,0,"none",0,false,false
"2022orwil_qm8","qm",1,8,"frc6443",6443,"red",3,"Gavin",false,"3",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm8","qm",1,8,"frc3131",3131,"blue",1,"asher",false,"3",false,false,false,false,false,false,0,0,0,0,"traverse",0,false,false
"2022orwil_qm8","qm",1,8,"frc3636",3636,"blue",2,"Sam W",true,"1",false,false,false,false,false,false,0,0,8,0,"traverse",0,false,false
"2022orwil_qm8","qm",1,8,"frc568",568,"blue",3,"aasha",true,"4",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm9","qm",1,9,"frc1425",1425,"red",1,"Suhaani",true,"3",false,false,false,false,false,false,1,0,0,0,"none",0,false,false
"2022orwil_qm9","qm",1,9,"frc3673",3673,"red",2,"katelyn",false,"2",false,false,false,false,false,false,0,0,0,0,"none",0,false,true
"2022orwil_qm9","qm",1,9,"frc2733",2733,"red",3,"Gavin",true,"1",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm9","qm",1,9,"frc5970",5970,"blue",1,"Emmet",false,"4",false,false,false,false,false,false,0,0,0,2,"mid",0,false,false
"2022orwil_qm9","qm",1,9,"frc2990",2990,"blue",2,"Sam W",true,"1",false,false,false,false,false,false,2,0,4,0,"traverse",0,false,false
"2022orwil_qm9","qm",1,9,"frc5975",5975,"blue",3,"aasha(robot didnt show)",false,"4",false,false,false,false,false,false,0,0,0,0,"traverse",0,true,false
"2022orwil_qm10","qm",1,10,"frc6696",6696,"red",1,"Suhaani",true,"2",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm10","qm",1,10,"frc2374",2374,"red",2,"katelyn (robot didny shpw)",false,"3",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm10","qm",1,10,"frc2635",2635,"red",3,"Gavin",false,"4",false,false,false,false,false,false,0,0,0,3,"none",0,false,false
"2022orwil_qm10","qm",1,10,"frc2898",2898,"blue",1,"Emmet",false,"2",false,false,false,false,false,false,0,1,0,4,"mid",0,false,false
"2022orwil_qm10","qm",1,10,"frc957",957,"blue",2,"Sam W",false,"4",false,false,false,false,false,false,0,0,0,7,"mid",0,false,false
"2022orwil_qm10","qm",1,10,"frc4057",4057,"blue",3,"aasha",true,"3",false,true,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm11","qm",1,11,"frc4450",4450,"red",1,"Suhaani",false,"1",false,false,false,false,false,false,0,0,0,0,"traverse",0,false,true
"2022orwil_qm11","qm",1,11,"frc997",997,"red",2,"katelyn",false,"3",false,false,false,false,false,false,0,0,0,0,"traverse",60,false,false
"2022orwil_qm11","qm",1,11,"frc568",568,"red",3,"Gavin",true,"2",false,false,false,false,false,false,2,0,8,0,"none",0,false,false
"2022orwil_qm11","qm",1,11,"frc4662",4662,"blue",1,"Emmet",false,"4",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm11","qm",1,11,"frc6443",6443,"blue",2,"Sam W",false,"3",false,false,false,false,false,false,0,0,1,0,"high",0,false,false
"2022orwil_qm11","qm",1,11,"frc6343",6343,"blue",3,"aasha",true,"2",false,false,false,false,false,false,1,0,1,0,"mid",0,false,false
"2022orwil_qm12","qm",1,12,"frc1540",1540,"red",1,"Suhaani",true,"2",false,false,false,false,false,false,2,0,8,0,"none",0,false,false
"2022orwil_qm12","qm",1,12,"frc2915",2915,"red",2,"katelyn",false,"2",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm12","qm",1,12,"frc2046",2046,"red",3,"Gavin",true,"4",false,false,false,false,false,false,4,0,9,0,"none",0,false,false
"2022orwil_qm12","qm",1,12,"frc2471",2471,"blue",1,"Emmet",false,"4",false,false,false,false,false,false,0,0,1,0,"traverse",0,false,false
"2022orwil_qm12","qm",1,12,"frc5975",5975,"blue",2,"Sam W",false,"1",false,false,false,false,false,false,0,0,0,0,"none",0,true,false
"2022orwil_qm12","qm",1,12,"frc3131",3131,"blue",3,"aasha(bot didnt show)",false,"4",false,false,false,false,false,false,0,0,0,0,"traverse",0,false,false
"2022orwil_qm13","qm",1,13,"frc3024",3024,"red",1,"suhaani",true,"2",false,false,false,false,false,false,0,0,5,0,"none",0,false,false
"2022orwil_qm13","qm",1,13,"frc2733",2733,"red",2,"katelym",false,"1",false,false,false,false,false,false,0,0,0,0,"mid",0,false,false
"2022orwil_qm13","qm",1,13,"frc3673",3673,"red",3,"Gavin",false,"3",false,false,false,false,false,false,0,0,2,0,"high",5,false,false
"2022orwil_qm13","qm",1,13,"frc2990",2990,"blue",1,"Emmet",false,"1",false,false,false,false,false,false,0,0,5,0,"mid",0,false,false
"2022orwil_qm13","qm",1,13,"frc1425",1425,"blue",2,"Sam W",false,"3",false,false,false,false,false,false,1,0,5,0,"none",0,false,false
"2022orwil_qm13","qm",1,13,"frc957",957,"blue",3,"aasha",false,"4",false,false,false,false,false,false,2,0,4,0,"low",0,false,false
"2022orwil_qm14","qm",1,14,"frc5970",5970,"red",1,"suhaani",true,"2",false,false,false,false,false,false,0,1,0,4,"mid",0,false,false
"2022orwil_qm14","qm",1,14,"frc4127",4127,"red",2,"katelyn",true,"1",false,false,false,false,false,false,0,0,0,0,"low",0,false,false
"2022orwil_qm14","qm",1,14,"frc3636",3636,"red",3,"Gavin",false,"3",false,false,false,false,false,false,0,0,6,0,"traverse",10,false,false
"2022orwil_qm14","qm",1,14,"frc753",753,"blue",1,"asher",false,"1",false,false,false,false,false,false,0,0,3,0,"none",0,false,false
"2022orwil_qm14","qm",1,14,"frc1359",1359,"blue",2,"Sam W",false,"3",false,false,false,false,false,false,0,0,0,3,"low",0,false,false
"2022orwil_qm14","qm",1,14,"frc2374",2374,"blue",3,"",true,"2",false,false,false,false,false,false,0,0,1,1,"mid",0,false,false
"2022orwil_qm15","qm",1,15,"frc5975",5975,"red",1,"suhaani",true,"2",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm15","qm",1,15,"frc2915",2915,"red",2,"katelyn",false,"1",false,false,false,false,false,false,0,1,0,6,"none",0,false,false
"2022orwil_qm15","qm",1,15,"frc6343",6343,"red",3,"Gavin",false,"4",false,false,false,false,false,false,0,1,0,3,"high",15,false,false
"2022orwil_qm15","qm",1,15,"frc2046",2046,"blue",1,"asher",true,"4",false,false,false,false,false,false,3,0,8,0,"traverse",8,false,false
