"MatchKey","Type","SetNum","MatchNum","MatchTeamKey","TeamNumber","Alliance","Position","match_scouter","auto__tarmac","auto__starting_position","auto__highhub","auto__lowhub","teleop__highhub","teleop__lowhub","endgame__climb_position","endgame__climbtime","breakdown","defended","playeddefense"
"2022orsal_qm9","qm",1,9,"frc1432",1432,"red",2,"casey",false,"2",0,0,0,0,"none",0,false,false,false
"2022orsal_qm9","qm",1,9,"frc2990",2990,"red",3,,,,,,,,,,,,
"2022orsal_qm9","qm",1,9,"frc4488",4488,"blue",1,"lily",true,"4",2,0,13,0,"high",7,false,false,false
"2022orsal_qm9","qm",1,9,"frc1425",1425,"blue",2,"Gavin",true,"3",4,0,7,0,"traverse",0,false,false,false
"2022orsal_qm9","qm",1,9,"frc2811",2811,"blue",3,"Suhaani 2811",true,"1",2,0,10,0,"none",0,false,false,false
"2022orsal_qm10","qm",1,10,"frc753",753,"red",1,"Aasha",false,"4",0,0,1,0,"mid",0,false,false,false
"2022orsal_qm10","qm",1,10,"frc3131",3131,"red",2,"casey",false,"1",0,0,0,0,"low",10,false,false,false
"2022orsal_qm10","qm",1,10,"frc997",997,"red",3,,,,,,,,,,,,
"2022orsal_qm10","qm",1,10,"frc955",955,"blue",1,"lily",true,"3",3,0,19,0,"none",0,false,false,false
"2022orsal_qm10","qm",1,10,"frc3674",3674,"blue",2,"Gavin",false,"4",0,0,0,0,"mid",0,false,false,false
"2022orsal_qm10","qm",1,10,"frc5468",5468,"blue",3,"Suhaani",true,"4",0,1,0,3,"high",0,false,false,true
"2022orsal_qm11","qm",1,11,"frc4057",4057,"red",1,"Aasha",false,"4",0,0,0,0,"traverse",0,false,false,false
"2022orsal_qm11","qm",1,11,"frc3673",3673,"red",2,"casey",false,"1",0,0,0,1,"mid",0,false,false,false
"2022orsal_qm11","qm",1,11,"frc5450",5450,"red",3,,,,,,,,,,,,
"2022orsal_qm11","qm",1,11,"frc7034",7034,"blue",1,"lily",true,"4",2,0,1,0,"none",0,true,false,false
"2022orsal_qm11","qm",1,11,"frc2635",2635,"blue",2,"Gavin",false,"1",0,0,1,0,"none",0,false,false,false
"2022orsal_qm11","qm",1,11,"frc1359",1359,"blue",3,"Suhaani",true,"1",0,0,0,8,"none",0,false,false,false
"2022orsal_qm12","qm",1,12,"frc4043",4043,"red",1,"Aasha",false,"1",0,2,0,6,"traverse",0,false,false,false
"2022orsal_qm12","qm",1,12,"frc2471",2471,"red",2,"casey",false,"4",3,0,4,0,"traverse",7,false,false,false
"2022orsal_qm12","qm",1,12,"frc2733",2733,"red",3,"Alex",false,"4",0,0,0,0,"mid",0,false,false,false
"2022orsal_qm12","qm",1,12,"frc4488",4488,"blue",1,"lily",true,"4",3,0,12,0,"high",7,false,false,false
"2022orsal_qm12","qm",1,12,"frc6465",6465,"blue",2,"Gavin",false,"2",0,0,0,0,"none",0,false,false,false
"2022orsal_qm12","qm",1,12,"frc2990",2990,"blue",3,"Suhaani",true,"1",1,0,8,0,"high",0,false,false,false
"2022orsal_qm13","qm",1,13,"frc955",955,"red",1,"Aasha 955",false,"3",3,0,5,0,"none",0,false,false,false
"2022orsal_qm13","qm",1,13,"frc2521",2521,"red",2,"asher",true,"1",0,0,9,0,"traverse",22,false,false,false
"2022orsal_qm13","qm",1,13,"frc3024",3024,"red",3,"Gavin",false,"3",2,0,5,0,"mid",0,false,false,false
"2022orsal_qm13","qm",1,13,"frc1425",1425,"blue",1,"lily",true,"2",4,0,8,0,"traverse",16,false,false,false
"2022orsal_qm13","qm",1,13,"frc6443",6443,"blue",2,"alex",false,"4",0,0,3,0,"high",0,false,true,false
"2022orsal_qm13","qm",1,13,"frc957",957,"blue",3,"Suhaani",true,"1",1,0,3,2,"none",0,false,false,false
